Journal ID,Account Number,Amount,Posting Date,Effective Date,User,Debit/Credit,JE Narration
JE-0001,1001,12543.20,2024-01-01,2024-01-01,jsmith,DR,Opening cash balance journal confirmation
JE-0001,4001,12543.20,2024-01-01,2024-01-01,rjones,CR,Opening cash balance journal confirmation
JE-0002,1100,45890.00,2024-01-02,2024-01-02,rjones,DR,Revenue recognition INV-5001
JE-0002,4001,45890.00,2024-01-02,2024-01-02,rjones,CR,Revenue recognition INV-5001
JE-0003,5002,9210.50,2024-01-03,2024-01-03,mwilson,DR,January payroll batch run
JE-0003,1001,9210.50,2024-01-03,2024-01-03,mwilson,CR,January payroll batch run
JE-0004,2001,3145.80,2024-01-04,2024-01-04,jsmith,DR,Supplier invoice SI-2024-001 payment
JE-0004,1001,3145.80,2024-01-04,2024-01-04,jsmith,CR,Supplier invoice SI-2024-001 payment
JE-0005,5003,2340.00,2024-01-05,2024-01-05,rjones,DR,Digital advertising expense Q1
JE-0005,2001,2340.00,2024-01-05,2024-01-05,rjones,CR,Digital advertising expense Q1
JE-0006,5001,1200.00,2024-01-06,2024-01-06,jsmith,DR,Urgent maintenance repair weekend
JE-0006,1001,1200.00,2024-01-06,2024-01-06,jsmith,CR,Urgent maintenance repair weekend
JE-0007,2001,850.00,2024-01-07,2024-01-07,mwilson,DR,Emergency supplier deposit weekend
JE-0007,1001,850.00,2024-01-07,2024-01-07,mwilson,CR,Emergency supplier deposit weekend
JE-0008,1001,5678.40,2024-01-08,2024-01-08,mwilson,DR,Customer receipt AR-089 applied
JE-0008,1100,5678.40,2024-01-08,2024-01-08,mwilson,CR,Customer receipt AR-089 applied
JE-0009,5001,1876.50,2024-01-09,2024-01-09,jsmith,DR,Office maintenance and supplies
JE-0009,1001,1876.50,2024-01-09,2024-01-09,jsmith,CR,Office maintenance and supplies
JE-0010,1100,38450.00,2024-01-10,2024-01-10,rjones,DR,Revenue recognition INV-5002
JE-0010,4001,38450.00,2024-01-10,2024-01-10,rjones,CR,Revenue recognition INV-5002
JE-0011,1001,22000.00,2024-01-11,2024-01-11,mwilson,DR,Wire transfer from customer XYZ
JE-0011,1100,22000.00,2024-01-11,2024-01-11,mwilson,CR,Wire transfer from customer XYZ
JE-0012,5001,2340.60,2024-01-12,2024-01-12,jsmith,DR,Equipment rental January invoice
JE-0012,2001,2340.60,2024-01-12,2024-01-12,jsmith,CR,Equipment rental January invoice
JE-0013,2100,1456.75,2024-01-15,2024-01-15,rjones,DR,Accrued utilities payable January
JE-0013,5001,1456.75,2024-01-15,2024-01-15,rjones,CR,Accrued utilities payable January
JE-0014,5003,3670.00,2024-01-16,2024-01-16,mwilson,DR,Trade show expenses reimbursement
JE-0014,2001,3670.00,2024-01-16,2024-01-16,mwilson,CR,Trade show expenses reimbursement
JE-0015,1100,29800.00,2024-01-17,2024-01-17,jsmith,DR,Revenue recognition INV-5010
JE-0015,4001,29800.00,2024-01-17,2024-01-17,jsmith,CR,Revenue recognition INV-5010
JE-0016,2001,0,2024-01-18,2024-01-18,rjones,DR,Clearing test entry voucher
JE-0016,1001,0,2024-01-18,2024-01-18,rjones,CR,Clearing test entry voucher
JE-0017,5001,567.00,2024-01-19,2024-01-19,mwilson,DR,OK
JE-0017,1001,567.00,2024-01-19,2024-01-19,mwilson,CR,OK
JE-0018,1100,12300.00,2024-01-22,2024-01-22,jsmith,DR,CR
JE-0018,4001,12300.00,2024-01-22,2024-01-22,jsmith,CR,CR
JE-0019,2001,6780.00,2024-01-23,2024-01-23,rjones,DR,Supplier payment batch SI-0092
JE-0019,1001,6780.00,2024-01-23,2024-01-23,rjones,CR,Supplier payment batch SI-0092
JE-0020,5001,890.75,2024-01-24,2024-01-24,mwilson,DR,Stationery and printing supplies
JE-0020,1001,890.75,2024-01-24,2024-01-24,mwilson,CR,Stationery and printing supplies
JE-0021,1001,15000.00,2024-01-25,2024-01-25,jsmith,DR,Quarterly deposit transfer funds
JE-0021,1100,15000.00,2024-01-25,2024-01-25,jsmith,CR,Quarterly deposit transfer funds
JE-0022,5002,9200.00,2024-01-26,2024-01-26,rjones,DR,Bi-weekly payroll processing
JE-0022,1001,9200.00,2024-01-26,2024-01-26,rjones,CR,Bi-weekly payroll processing
JE-0023,1100,4320.50,2024-01-29,2024-01-29,mwilson,DR,Receivables adjustment customer 44
JE-0023,4001,4320.50,2024-01-29,2024-01-29,mwilson,CR,Receivables adjustment customer 44
JE-0024,1100,19800.00,2024-01-30,2024-01-30,jsmith,DR,Invoice revenue recognition INV-5030
JE-0024,4001,19800.00,2024-01-30,2024-01-30,jsmith,CR,Invoice revenue recognition INV-5030
JE-0025,5001,10000.00,2024-02-01,2024-02-01,rjones,DR,Monthly service agreement fee
JE-0025,1001,10000.00,2024-02-01,2024-02-01,rjones,CR,Monthly service agreement fee
JE-0026,2001,50000.00,2024-02-05,2024-02-05,jsmith,DR,Large vendor contract settlement payment
JE-0026,1001,50000.00,2024-02-05,2024-02-05,jsmith,CR,Large vendor contract settlement payment
JE-0027,5002,100000.00,2024-02-06,2024-02-06,admin,DR,Payroll system override correction entry
JE-0027,1001,100000.00,2024-02-06,2024-02-06,admin,CR,Payroll system override correction entry
JE-0028,2001,4499.00,2024-02-10,2024-02-10,jsmith,DR,Vendor payment tranche 1 of 3
JE-0028,1001,4499.00,2024-02-10,2024-02-10,jsmith,CR,Vendor payment tranche 1 of 3
JE-0029,2001,4499.00,2024-02-10,2024-02-10,jsmith,DR,Vendor payment tranche 2 of 3
JE-0029,1001,4499.00,2024-02-10,2024-02-10,jsmith,CR,Vendor payment tranche 2 of 3
JE-0030,2001,4499.00,2024-02-10,2024-02-10,jsmith,DR,Vendor payment tranche 3 of 3
JE-0030,1001,4499.00,2024-02-10,2024-02-10,jsmith,CR,Vendor payment tranche 3 of 3
JE-0031,4001,5000.00,2024-02-12,2024-02-12,mwilson,DR,Sales commission INV-5090 applied
JE-0031,2001,5000.00,2024-02-12,2024-02-12,mwilson,CR,Sales commission INV-5090 applied
JE-0032,4001,5000.00,2024-02-12,2024-02-12,mwilson,DR,Sales commission INV-5090 applied
JE-0032,2001,5000.00,2024-02-12,2024-02-12,mwilson,CR,Sales commission INV-5090 applied
JE-0033,5001,3500.00,2024-02-15,2023-12-01,jsmith,DR,Prior year accrual write-off adjustment
JE-0033,2100,3500.00,2024-02-15,2023-12-01,jsmith,CR,Prior year accrual write-off adjustment
JE-0034,5001,5250.00,2024-02-20,2024-02-20,jsmith,DR,Month-end accrual journal posting
JE-0034,2100,5250.00,2024-02-20,2024-02-20,jsmith,CR,Month-end accrual journal posting
JE-0035,2100,5250.00,2024-02-22,2024-02-22,jsmith,DR,Month-end accrual reversal entry
JE-0035,5001,5250.00,2024-02-22,2024-02-22,jsmith,CR,Month-end accrual reversal entry
JE-0036,1001,8900.00,2024-02-14,2024-02-14,rjones,DR,Customer deposit received CRN-902
JE-0036,1100,8900.00,2024-02-14,2024-02-14,rjones,CR,Customer deposit received CRN-902
JE-0037,5003,3250.00,2024-02-19,2024-02-19,mwilson,DR,Social media advertising campaign spend
JE-0037,2001,3250.00,2024-02-19,2024-02-19,mwilson,CR,Social media advertising campaign spend
JE-0038,5002,9750.00,2024-02-21,2024-02-21,mwilson,DR,February payroll processing run
JE-0038,1001,9750.00,2024-02-21,2024-02-21,mwilson,CR,February payroll processing run
JE-0039,2001,4320.50,2024-02-23,2024-02-23,rjones,DR,Supplier invoice SI-2024-042 payment
JE-0039,1001,4320.50,2024-02-23,2024-02-23,rjones,CR,Supplier invoice SI-2024-042 payment
JE-0040,1001,7650.00,2024-02-26,2024-02-26,jsmith,DR,Customer accounts receivable update AR-112
JE-0040,1100,7650.00,2024-02-26,2024-02-26,jsmith,CR,Customer accounts receivable update AR-112
JE-0041,1100,32000.00,2024-02-28,2024-02-28,mwilson,DR,Revenue recognition INV-5101
JE-0041,4001,32000.00,2024-02-28,2024-02-28,mwilson,CR,Revenue recognition INV-5101
JE-0042,2001,1890.00,"2024-02-27 02:15",2024-02-27,jsmith,DR,Overnight journal system correction
JE-0042,1001,1890.00,"2024-02-27 02:15",2024-02-27,jsmith,CR,Overnight journal system correction
JE-0043,5001,1560.00,2024-02-29,2024-02-29,rjones,DR,Equipment inspection fee Q1
JE-0043,1001,1560.00,2024-02-29,2024-02-29,rjones,CR,Equipment inspection fee Q1
JE-0044,1001,19800.00,2024-03-01,2024-03-01,jsmith,DR,Month-opening cash receipt deposit
JE-0044,1100,19800.00,2024-03-01,2024-03-01,jsmith,CR,Month-opening cash receipt deposit
JE-0045,5001,3450.00,2024-03-05,2024-03-05,mwilson,DR,Quarterly maintenance contract Q1
JE-0045,1001,3450.00,2024-03-05,2024-03-05,mwilson,CR,Quarterly maintenance contract Q1
JE-0046,1100,41000.00,2024-03-06,2024-03-06,rjones,DR,Revenue recognition INV-5201
JE-0046,4001,41000.00,2024-03-06,2024-03-06,rjones,CR,Revenue recognition INV-5201
JE-0047,5002,9850.00,2024-03-08,2024-03-08,jsmith,DR,March payroll expense processing
JE-0047,1001,9850.00,2024-03-08,2024-03-08,jsmith,CR,March payroll expense processing
JE-0048,1001,6780.00,2024-03-14,2024-03-14,rjones,DR,Bank deposit customer transfer receipt
JE-0048,1100,6780.00,2024-03-14,2024-03-14,rjones,CR,Bank deposit customer transfer receipt
JE-0049,9001,450.00,2024-03-15,2024-03-15,mwilson,DR,Suspense account clearing unbalanced
JE-0049,1001,300.00,2024-03-15,2024-03-15,mwilson,CR,Suspense account clearing unbalanced
JE-0050,5001,2340.00,2024-03-18,2024-03-18,jsmith,DR,Facilities management contract renewal
JE-0050,1001,2340.00,2024-03-18,2024-03-18,jsmith,CR,Facilities management contract renewal
JE-0051,3000,2300.00,2024-03-20,2024-03-20,mwilson,DR,Manual retained earnings adjustment
JE-0051,5001,2300.00,2024-03-20,2024-03-20,rjones,CR,Manual retained earnings adjustment
JE-0052,9001,890.00,2024-03-25,2024-03-25,rjones,DR,Suspense account clearing entry
JE-0052,1001,890.00,2024-03-25,2024-03-25,rjones,CR,Suspense account clearing entry
JE-0053,5001,2300.00,2024-03-29,2024-03-29,mwilson,DR,Period-end expense adjustment posting
JE-0053,2001,2300.00,2024-03-29,2024-03-29,mwilson,CR,Period-end expense adjustment posting
JE-0054,1100,8900.00,2024-03-29,2024-03-29,rjones,DR,Revenue recognition Q1 late adjustment
JE-0054,4001,8900.00,2024-03-29,2024-03-29,rjones,CR,Revenue recognition Q1 late adjustment
JE-0055,5002,4200.00,2024-03-30,2024-03-30,jsmith,DR,Payroll accrual March close
JE-0055,2100,4200.00,2024-03-30,2024-03-30,jsmith,CR,Payroll accrual March close
JE-0056,2001,1800.00,2024-03-30,2024-03-30,mwilson,DR,Quarter-end supplier liability accrual
JE-0056,2100,1800.00,2024-03-30,2024-03-30,mwilson,CR,Quarter-end supplier liability accrual
JE-0057,5001,6700.00,2024-03-31,2024-03-31,jsmith,DR,Year-end provision expense Q1 close
JE-0057,2100,6700.00,2024-03-31,2024-03-31,jsmith,CR,Year-end provision expense Q1 close
JE-0058,1100,15000.00,2024-03-31,2024-03-31,rjones,DR,Q1 revenue recognition true-up entry
JE-0058,4001,15000.00,2024-03-31,2024-03-31,rjones,CR,Q1 revenue recognition true-up entry
JE-0059,5003,3400.00,2024-03-31,2024-03-31,mwilson,DR,Marketing expense Q1 accrual close
JE-0059,2001,3400.00,2024-03-31,2024-03-31,mwilson,CR,Marketing expense Q1 accrual close
JE-0060,2100,9500.00,2024-03-31,2024-03-31,jsmith,DR,Final Q1 liability adjustment entry
JE-0060,2001,9500.00,2024-03-31,2024-03-31,jsmith,CR,Final Q1 liability adjustment entry
JE-0061,1001,5000.00,2024-03-31,2024-03-31,mwilson,DR,Quarterly cash reconciliation transfer
JE-0061,1100,5000.00,2024-03-31,2024-03-31,mwilson,CR,Quarterly cash reconciliation transfer
JE-0062,5001,2890.00,2024-04-02,2024-04-02,rjones,DR,April operating expenses general
JE-0062,1001,2890.00,2024-04-02,2024-04-02,rjones,CR,April operating expenses general
JE-0063,1100,28000.00,2024-04-04,2024-04-04,mwilson,DR,Revenue recognition INV-5301
JE-0063,4001,28000.00,2024-04-04,2024-04-04,mwilson,CR,Revenue recognition INV-5301
JE-0099,5001,1500.00,2024-03-17,2024-03-17,jsmith,DR,Miscellaneous expense reclassification
